"","id","month","price","bedrooms","bathrooms","sqft_living","condition","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long"
"1",6414100192,"12",538000,3,2.25,2570,3,2170,400,1951,1991,98125,47.721,-122.319
"2",2487200875,"12",604000,4,3,1960,5,1050,910,1965,0,98136,47.5208,-122.393
"3",1954400510,"02",510000,3,2,1680,3,1680,0,1987,0,98074,47.6168,-122.045
"4",7237550310,"05",1225000,4,4.5,5420,3,3890,1530,2001,0,98053,47.6561,-122.005
"5",1321400060,"06",257500,3,2.25,1715,3,1715,0,1995,0,98003,47.3097,-122.327
"6",2008000270,"01",291850,3,1.5,1060,3,1060,0,1963,0,98198,47.4095,-122.315
"7",3793500160,"03",323000,3,2.5,1890,3,1890,0,2003,0,98038,47.3684,-122.031
"8",1736800520,"04",662500,3,2.5,3560,3,1860,1700,1965,0,98007,47.6007,-122.145
"9",6054650070,"10",4e+05,3,1.75,1370,4,1370,0,1977,0,98074,47.6127,-122.045
"10",1175000570,"03",530000,5,2,1810,3,1810,0,1900,0,98107,47.67,-122.394
"11",9297300055,"01",650000,4,3,2950,3,1980,970,1979,0,98126,47.5714,-122.375
"12",1875500060,"07",395000,3,2,1890,3,1890,0,1994,0,98019,47.7277,-121.962
"13",6300500875,"05",385000,4,1.75,1620,4,860,760,1947,0,98133,47.7025,-122.341
"14",2524049179,"08",2e+06,3,2.75,3050,3,2330,720,1968,0,98040,47.5316,-122.233
"15",7137970340,"07",285000,5,2.5,2270,3,2270,0,1995,0,98092,47.3266,-122.169
"16",8091400200,"05",252700,2,1.5,1070,3,1070,0,1985,0,98030,47.3533,-122.166
"17",3814700200,"11",329000,3,2.25,2450,4,2450,0,1985,0,98030,47.3739,-122.172
"18",1202000200,"11",233000,3,2,1710,5,1710,0,1941,0,98002,47.3048,-122.218
"19",1794500383,"06",937000,3,1.75,2450,3,1750,700,1915,0,98119,47.6386,-122.36
"20",5101402488,"06",438000,3,1.75,1520,3,790,730,1948,0,98115,47.695,-122.304
"21",1873100390,"03",719000,4,2.5,2570,3,2570,0,2005,0,98052,47.7073,-122.11
"22",8562750320,"11",580500,3,2.5,2320,3,2320,0,2003,0,98027,47.5391,-122.07
"23",2426039314,"12",280000,2,1.5,1190,3,1190,0,2005,0,98133,47.7274,-122.357
"24",461000390,"06",687500,4,1.75,2330,4,1510,820,1929,0,98117,47.6823,-122.368
"25",7955080270,"12",322500,4,2.75,2060,3,1280,780,1981,0,98058,47.4276,-122.157
"26",9547205180,"06",696000,3,2.5,2300,3,1510,790,1930,2002,98115,47.6827,-122.31
"27",2768000400,"12",640000,4,2,2360,4,2360,0,1904,0,98107,47.6702,-122.362
"28",2078500320,"06",605000,4,2.5,2620,3,2620,0,1996,0,98056,47.5301,-122.18
"29",5547700270,"07",625000,4,2.5,2570,3,2570,0,2000,0,98074,47.6145,-122.027
"30",7766200013,"08",775000,4,2.25,4220,3,2600,1620,1984,0,98166,47.445,-122.347
"31",7203220400,"07",861990,5,2.75,3595,3,3595,0,2014,0,98053,47.6848,-122.016
"32",8035350320,"07",488000,3,2.5,3160,3,3160,0,2003,0,98019,47.7443,-121.977
"33",4178300310,"07",785000,4,2.5,2290,4,2290,0,1981,0,98007,47.6194,-122.151
"34",9215400105,"04",450000,3,1.75,1250,4,1250,0,1953,0,98115,47.6796,-122.301
"35",822039084,"03",1350000,3,2.5,2753,5,2165,588,1953,0,98070,47.4041,-122.451
"36",7231300125,"02",345000,5,2.5,3150,4,1640,1510,1966,0,98056,47.4934,-122.189
"37",7518505990,"12",6e+05,3,1.75,1410,4,1000,410,1950,0,98117,47.6808,-122.384
"38",3626039271,"02",585000,2,1.75,1980,3,990,990,1981,0,98117,47.6989,-122.369
"39",4217401195,"03",920000,5,2.25,2730,3,2130,600,1927,0,98105,47.6571,-122.281
"40",9822700295,"05",885000,4,2.5,2830,3,2830,0,1995,0,98105,47.6597,-122.29
"41",9478500640,"08",292500,4,2.5,2250,3,2250,0,2008,0,98042,47.3663,-122.114
"42",2799800710,"04",301000,3,2.5,2420,3,2420,0,2003,0,98042,47.3663,-122.122
"43",7922800400,"08",951000,5,3.25,3250,4,3250,0,1968,0,98008,47.588,-122.116
"44",8079040320,"02",430000,4,3,1850,3,1850,0,1991,0,98059,47.5059,-122.149
"45",1516000055,"12",650000,3,2.25,2150,4,1590,560,1959,0,98166,47.4336,-122.339
"46",9558200045,"08",289000,3,1.75,1260,3,1260,0,1954,0,98148,47.4366,-122.335
"47",5072410070,"10",505000,3,1.75,2519,5,2519,0,1973,0,98166,47.4428,-122.344
"48",9528102996,"12",549000,3,1.75,1540,3,1540,0,2014,0,98115,47.6765,-122.32
"49",1189001180,"06",425000,3,2.25,1660,3,1110,550,1979,0,98122,47.6113,-122.297
"50",3253500160,"11",317625,3,2.75,2770,5,1770,1000,1925,0,98144,47.5747,-122.304
"51",3394100030,"09",975000,4,2.5,2720,3,2720,0,1989,0,98004,47.5815,-122.192
"52",3717000160,"10",287000,4,2.5,2240,3,2240,0,2005,0,98001,47.3378,-122.257
"53",1802000060,"06",1325000,5,2.25,3200,3,1600,1600,1965,0,98004,47.6303,-122.215
"54",1525059190,"09",1040000,5,3.25,4770,4,3070,1700,1973,0,98005,47.6525,-122.16
"55",1049000060,"01",325000,3,2,1260,4,1260,0,1972,0,98034,47.7362,-122.179
"56",8820901275,"06",571000,4,2,2750,5,2250,500,1916,0,98125,47.7168,-122.287
"57",5416510140,"07",360000,4,2.5,2380,3,2380,0,2005,0,98038,47.3608,-122.036
"58",3444100400,"03",349000,3,1.75,1790,5,1090,700,1965,0,98042,47.3511,-122.073
"59",3276920270,"11",832500,4,4,3430,4,2390,1040,1986,0,98075,47.5822,-121.987
"60",4036801170,"10",380000,4,1.75,1760,3,880,880,1956,0,98008,47.6034,-122.125
"61",1531000030,"03",720000,4,2.5,3450,3,3450,0,2002,0,98010,47.342,-122.025
"62",5104520400,"12",390000,3,2.5,2350,3,2350,0,2003,0,98038,47.3512,-122.008
"63",7437100340,"12",360000,4,2.5,1900,3,1900,0,1992,0,98038,47.349,-122.031
"64",1523059105,"01",356000,3,1.5,1680,3,1680,0,1964,0,98059,47.4811,-122.149
"65",4232902595,"11",940000,3,1.5,2140,3,1900,240,1925,0,98119,47.6337,-122.365
"66",2599001200,"11",305000,5,2.25,2660,5,2660,0,1961,0,98092,47.2909,-122.189
"67",3342103156,"06",461000,3,3.25,2770,3,1980,790,2006,0,98056,47.5228,-122.199
"68",1332700270,"05",215000,2,2.25,1610,4,1610,0,1979,0,98056,47.518,-122.194
"69",3869900162,"09",335000,2,1.75,1030,3,765,265,2006,0,98136,47.5394,-122.387
"70",2791500270,"05",243500,4,2.5,1980,3,1980,0,1988,0,98023,47.2897,-122.372
"71",5036300431,"03",1099880,5,2.75,3520,4,3520,0,2001,0,98199,47.6506,-122.391
"72",6021501535,"07",430000,3,1.5,1580,3,1290,290,1939,0,98117,47.687,-122.386
"73",6021501535,"12",7e+05,3,1.5,1580,3,1290,290,1939,0,98117,47.687,-122.386
"74",1483300570,"09",905000,4,2.5,3300,3,2390,910,1946,1991,98040,47.5873,-122.249
"75",3422049190,"03",247500,3,1.75,1960,3,1960,0,1967,0,98032,47.3576,-122.277
"76",1099611230,"09",199000,4,1.5,1160,4,1160,0,1975,0,98023,47.3036,-122.378
"77",722079104,"07",314000,3,1.75,1810,5,1210,600,1980,0,98038,47.4109,-121.958
"78",7338200240,"05",437500,3,2.5,2320,3,2320,0,1992,0,98045,47.4838,-121.714
"79",1952200240,"06",850830,3,2.5,2070,5,1270,800,1910,0,98102,47.6415,-122.315
"80",5200100125,"10",555000,3,2,1980,4,1440,540,1929,0,98117,47.6775,-122.372
"81",7214720075,"12",699950,3,2.25,2190,4,2190,0,1983,0,98077,47.7731,-122.08
"82",2450000295,"10",1088000,3,2.5,2920,3,2920,0,1950,2010,98004,47.5814,-122.196
"83",1328310370,"04",375000,3,2.5,2340,4,1460,880,1978,0,98058,47.4431,-122.133
"84",3530510041,"07",188500,2,1.75,1240,4,1240,0,1985,0,98198,47.3813,-122.322
"85",1853000400,"03",680000,4,2.5,3140,4,3140,0,1991,0,98077,47.7304,-122.082
"86",3134100116,"08",470000,5,1.75,2030,4,2030,0,1942,0,98052,47.6417,-122.109
"87",9545230140,"07",597750,4,2.5,2310,3,2310,0,1984,0,98027,47.5386,-122.053
"88",3362400511,"03",570000,3,1.75,1260,5,700,560,1905,0,98103,47.6823,-122.349
"89",2525310310,"09",272500,3,1.75,1540,4,1160,380,1980,0,98038,47.3624,-122.031
"90",6126500060,"11",329950,3,1.75,2080,3,1080,1000,1971,0,98108,47.5474,-122.295
"91",8961960160,"10",480000,4,2.5,3230,3,2520,710,2001,0,98001,47.3183,-122.253
"92",3626039325,"11",740500,3,3.5,4380,3,2780,1600,1900,1999,98117,47.6981,-122.368
"93",3362400431,"06",518500,3,3.5,1590,3,1590,0,2010,0,98103,47.6824,-122.347
"94",3454800060,"01",171800,4,2,1570,3,1570,0,1950,0,98168,47.4965,-122.303
"95",7278700070,"01",660000,3,2.5,2400,3,1560,840,1964,0,98177,47.7728,-122.386
"96",6675500070,"11",391500,3,2,1450,3,1450,0,1987,0,98034,47.7288,-122.226
"97",3524049083,"11",445000,4,1.75,2100,5,1720,380,1924,0,98118,47.5299,-122.266
"98",3275860240,"06",770000,3,2.25,2910,3,2910,0,1990,0,98052,47.6897,-122.098
"99",4389200955,"03",1450000,4,2.75,2750,3,1980,770,1914,1992,98004,47.6141,-122.212
"100",4058801670,"07",445000,3,2.25,2100,3,1620,480,1967,0,98178,47.5091,-122.244
"101",8732020310,"07",260000,4,2.25,2160,3,1360,800,1978,0,98023,47.3129,-122.39
"102",2331300505,"06",822500,5,3.5,2320,5,1720,600,1926,0,98103,47.6763,-122.352
"103",7853210060,"04",430000,4,2.5,2070,3,2070,0,2004,0,98065,47.5319,-121.85
"104",3668000070,"01",212000,3,1.75,1060,4,1060,0,1986,0,98092,47.2761,-122.152
"105",9545240070,"04",660500,4,2.25,2010,3,1440,570,1986,0,98027,47.5343,-122.054
"106",1243100136,"06",784000,3,3.5,3950,3,2460,1490,1989,0,98052,47.697,-122.072
"107",8929000270,"05",453246,3,2.5,2010,3,1390,620,2014,0,98029,47.5517,-121.998
"108",2767602356,"01",675000,4,3.5,2140,3,2140,0,2005,0,98107,47.6734,-122.38
"109",921049315,"08",199000,3,1.75,1320,4,1320,0,1956,0,98003,47.3257,-122.296
"110",3655000070,"08",220000,4,1.75,2020,3,1010,1010,1968,0,98003,47.3309,-122.299
"111",4027700812,"05",452000,4,2.25,2590,4,1340,1250,1968,0,98028,47.7689,-122.266
"112",2767603505,"05",519950,3,2.25,1170,3,1170,0,2014,0,98107,47.6722,-122.381
"113",1777500060,"07",527700,5,2.5,2820,4,1550,1270,1968,0,98006,47.5707,-122.128
"114",6071600370,"02",5e+05,4,2.25,2030,4,1380,650,1961,0,98006,47.5495,-122.174
"115",1526069017,"12",921500,4,2.5,3670,4,3670,0,1994,0,98077,47.7421,-122.026
"116",3224079105,"08",430000,2,2.5,2420,3,2420,0,2007,0,98027,47.5262,-121.943
"117",8075400570,"10",258000,5,2,2260,4,1130,1130,1960,0,98032,47.3887,-122.286
"118",3362900810,"08",532170,3,2,1360,3,1360,0,1990,0,98103,47.6838,-122.353
"119",7855801670,"04",2250000,4,3.25,5180,3,3540,1640,2006,0,98006,47.562,-122.162
"120",6388930390,"11",650000,5,3.5,3960,3,2500,1460,1996,0,98056,47.525,-122.172
"121",8731900200,"08",320000,4,2.75,2640,3,1620,1020,1967,0,98023,47.3135,-122.369
"122",8029200135,"11",247000,3,2,1270,3,1270,0,1916,2013,98022,47.2086,-121.996
"123",1081200350,"10",320000,4,1.75,1760,4,1760,0,1968,0,98059,47.4715,-122.118
"124",84000105,"05",255000,5,2.25,2060,3,1030,1030,1962,0,98146,47.4877,-122.335
"125",3756500060,"03",438000,3,1.75,1780,3,1780,0,1962,0,98034,47.7171,-122.193
"126",7215720160,"03",9e+05,3,2.5,3400,3,3400,0,2000,0,98075,47.6012,-122.023
"127",3574800520,"06",441000,3,2.75,1910,3,1160,750,1979,0,98034,47.7319,-122.224
"128",2617300160,"08",420000,3,2,2020,4,1010,1010,1975,0,98027,47.4582,-122.023
"129",2558660270,"12",370000,3,1.75,1580,3,1180,400,1976,0,98034,47.7209,-122.168
"130",2009000370,"02",269950,2,1.75,1340,5,700,640,1949,0,98198,47.408,-122.327
"131",1836980160,"03",807100,4,2.5,2680,3,2680,0,1999,0,98006,47.565,-122.125
"132",3261020370,"06",653000,3,2.5,2680,4,1610,1070,1979,0,98034,47.7028,-122.231
"133",1755700060,"06",371500,3,2,1370,5,1370,0,1964,0,98133,47.7458,-122.331
"134",4330600435,"03",284000,3,1.75,1560,3,1560,0,1954,0,98166,47.4776,-122.337
"135",9542800700,"01",272000,3,1.75,2160,4,1670,490,1978,0,98023,47.3026,-122.374
"136",1999700045,"05",313000,3,1.5,1340,3,1340,0,1955,0,98133,47.7658,-122.339
"137",1762600070,"01",917500,4,2.5,3880,3,2570,1310,1984,0,98033,47.6477,-122.182
"138",1687900520,"09",673000,4,2.25,2590,4,2590,0,1980,0,98006,47.5619,-122.125
"139",7234600798,"02",425000,3,2.5,1120,3,820,300,2008,0,98122,47.6106,-122.31
"140",3881900445,"07",399950,5,2.75,1970,3,1320,650,1986,0,98144,47.5868,-122.308
"141",5437810320,"11",269950,3,1.5,1950,4,1320,630,1975,0,98022,47.1976,-121.999
"142",3830630310,"07",260000,3,2.5,1670,3,1670,0,1988,0,98030,47.3505,-122.179
"143",8123100045,"04",470000,4,3,2380,4,1680,700,1925,0,98126,47.5384,-122.376
"144",3127200041,"06",589000,4,3,2440,5,2440,0,1961,0,98034,47.7044,-122.2
"145",6661200320,"07",163500,2,1.5,1050,3,1050,0,1996,0,98038,47.3848,-122.039
"146",11510310,"09",835000,4,2.75,3130,3,2140,990,1993,0,98052,47.6993,-122.102
"147",825059270,"11",1095000,5,3,4090,4,2090,2000,1986,0,98033,47.6627,-122.188
"148",8731951370,"04",269000,4,1.75,1490,4,1100,390,1969,0,98023,47.3099,-122.379
"149",1954440060,"05",560000,3,2.5,1900,3,1900,0,1987,0,98074,47.62,-122.043
"150",1115810060,"12",585188,3,2.25,2230,3,1430,800,1975,0,98052,47.6647,-122.153
"151",9477200200,"08",305000,3,1.75,1650,3,1220,430,1977,0,98034,47.726,-122.191
"152",2287000060,"09",799000,3,2.5,2140,4,2140,0,1959,0,98040,47.5505,-122.219
"153",3663500060,"06",4e+05,3,2.5,2180,4,1420,760,1962,0,98133,47.7606,-122.336
"154",7796450200,"05",256883,3,2.5,1690,3,1690,0,2003,0,98023,47.2779,-122.347
"155",7549802535,"11",423000,4,2,1970,5,1130,840,1920,0,98108,47.5511,-122.312
"156",3278600320,"07",465000,3,2.5,2150,3,2150,0,2007,0,98126,47.5488,-122.372
"157",2824079053,"01",440000,3,2.5,1910,3,1910,0,1997,0,98024,47.5385,-121.911
"158",1222069094,"10",385000,3,1.75,1350,4,1350,0,1969,0,98038,47.4058,-121.994
"159",2222059065,"11",297000,3,2.5,1940,3,1940,0,1994,0,98042,47.3777,-122.165
"160",100600550,"08",226500,3,1.5,1300,4,900,400,1976,0,98023,47.3025,-122.37
"161",3456000310,"08",840000,4,1.75,2480,4,1630,850,1966,0,98040,47.5378,-122.219
"162",9526600140,"09",677900,3,2.5,2440,3,2440,0,2010,0,98052,47.7073,-122.114
"163",2310030510,"04",320000,4,2.25,1550,3,1550,0,1993,0,98038,47.354,-122.047
"164",1025049114,"07",625504,3,2.25,1270,3,1060,210,2014,0,98105,47.6647,-122.284
"165",8677300550,"05",592500,4,2.5,2240,3,2240,0,1983,0,98074,47.6143,-122.017
"166",4014400292,"01",465000,3,2.5,2714,3,2714,0,2005,0,98001,47.3185,-122.275
"167",1102000196,"05",477000,4,2.75,1720,3,1720,0,1978,0,98118,47.5458,-122.268
"168",46100204,"02",1505000,5,3,3300,3,1870,1430,1957,1991,98040,47.5673,-122.21
"169",1909600046,"07",445838,3,2.5,2250,3,2250,0,2000,0,98146,47.5133,-122.379
"170",1250202145,"08",1072000,2,2.25,3900,3,1950,1950,1947,0,98144,47.5884,-122.291
"171",7611200125,"10",467000,2,1.5,1320,4,1320,0,1947,0,98177,47.7145,-122.367
"172",5611500140,"08",686000,4,2.5,2760,3,2760,0,1999,0,98075,47.5836,-122.026
"173",7138000260,"06",279950,3,2,1750,3,1350,400,1961,0,98198,47.398,-122.299
"174",626059335,"09",527000,4,2.25,2330,3,2330,0,1987,0,98011,47.7663,-122.215
"175",1922059282,"09",325000,3,2.25,2220,4,1780,440,1966,0,98030,47.3758,-122.217
"176",705700390,"09",328000,3,2.25,2020,3,2020,0,1994,0,98038,47.3828,-122.023
"177",7454001200,"06",390000,3,2.25,1250,5,1250,0,1942,0,98146,47.5123,-122.373
"178",8682281200,"03",479950,2,2,1510,3,1510,0,2005,0,98053,47.7076,-122.013
"179",7972000200,"05",264950,4,2.25,1720,4,1120,600,1978,0,98023,47.2922,-122.371
"180",7202340400,"03",516500,3,2.5,1480,3,1480,0,2004,0,98053,47.6794,-122.034
"181",8096000060,"04",655000,2,1.75,1450,3,1230,220,1915,1978,98166,47.4497,-122.375
"182",2424000060,"06",5e+05,4,2.75,2280,5,2280,0,1960,0,98059,47.5218,-122.164
"183",3677400445,"09",475000,3,1.5,2480,5,1620,860,1947,0,98108,47.5575,-122.303
"184",1762600320,"06",1025000,5,4,3760,3,3760,0,1983,0,98033,47.6489,-122.183
"185",4058000060,"04",416000,3,2,2220,5,1640,580,1976,0,98010,47.3459,-121.95
"186",326069104,"07",8e+05,3,3.5,3830,3,3530,300,1993,0,98077,47.7641,-122.023
"187",3584000310,"12",225000,3,1.75,1430,4,1430,0,1968,0,98003,47.3173,-122.319
"188",8029510030,"02",363000,3,2.5,2740,3,2740,0,1990,0,98023,47.3076,-122.395
"189",2025069065,"09",2400000,4,2.5,3650,3,1830,1820,2000,0,98074,47.6338,-122.072
"190",7899800890,"02",181000,2,1.5,720,3,720,0,1954,0,98106,47.5218,-122.357
"191",3021059276,"03",250000,4,2,2010,4,2010,0,1976,0,98002,47.2785,-122.213
"192",3797001895,"04",481000,3,1.75,1560,4,770,790,1918,0,98103,47.6846,-122.345
"193",3832710960,"09",260000,3,2,1810,4,1240,570,1978,0,98032,47.3656,-122.278
"194",1310430400,"05",455000,4,2.5,3360,3,3360,0,2001,0,98058,47.4369,-122.111
"195",1422300030,"04",415000,3,2.25,1510,3,1510,0,1991,0,98045,47.4616,-121.711
"196",3830630060,"09",245000,3,2.5,1730,3,1730,0,1987,0,98030,47.3507,-122.178
"197",5101404898,"05",592500,2,2,1420,5,1420,0,1928,0,98115,47.6979,-122.32
"198",7972601890,"10",385000,4,1.75,2360,4,1180,1180,1955,0,98106,47.5278,-122.345
"199",5127001620,"02",315000,3,1.75,1580,4,1200,380,1974,0,98059,47.4756,-122.147
"200",1873100060,"08",693000,4,2.5,2460,3,2460,0,2006,0,98052,47.7048,-122.109
"201",8644000060,"10",237000,3,1.75,1270,4,1270,0,1960,0,98198,47.4207,-122.29
"202",3325069129,"12",525000,3,2.25,2100,3,1320,780,1979,0,98074,47.6154,-122.047
"203",8078560140,"05",290000,4,2.5,1700,4,1700,0,1988,0,98031,47.4045,-122.171
"204",2557000400,"04",272500,3,2.5,2070,3,1420,650,1979,0,98023,47.2988,-122.371
"205",7960900060,"05",2900000,4,3.25,5050,3,4750,300,1982,2008,98004,47.6312,-122.223
"206",4054500390,"10",1365000,4,4.75,5310,4,5310,0,1989,0,98077,47.7285,-122.042
"207",4235400186,"11",331000,3,1.75,1080,3,580,500,1954,2003,98199,47.6601,-122.4
"208",4215100060,"03",365000,3,2.5,2653,3,2653,0,2006,0,98031,47.4145,-122.166
"209",9189700045,"01",450000,3,2,2290,5,2290,0,1960,0,98058,47.4672,-122.165
"210",1126049053,"11",770000,4,2.75,3820,3,2850,970,2014,0,98028,47.7618,-122.261
"211",2022069200,"05",455000,4,2.5,2210,3,2210,0,1997,0,98038,47.3828,-122.071
"212",9412900055,"05",405000,3,1.75,2390,3,1240,1150,1908,0,98118,47.5362,-122.268
"213",1722059235,"07",304900,4,1.75,2600,4,1610,990,1969,0,98031,47.3954,-122.206
"214",7424700045,"05",2050000,5,3,3830,5,2630,1200,1905,1994,98122,47.6166,-122.287
"215",7202360350,"06",780000,4,2.5,3500,3,3500,0,2005,0,98053,47.6811,-122.025
"216",5634500392,"04",330000,3,3,2420,4,1740,680,1988,0,98028,47.7486,-122.23
"217",1509500060,"09",370000,4,2.5,2720,3,2720,0,1992,0,98030,47.3846,-122.169
"218",7214810350,"10",467000,5,2.25,2500,3,1850,650,1979,0,98072,47.7564,-122.144
"219",6647200060,"02",405000,3,1.75,1670,3,1140,530,1980,0,98034,47.7198,-122.193
"220",9552700140,"07",675000,5,2.25,2900,3,1450,1450,1985,0,98006,47.5461,-122.151
"221",6113400046,"07",389999,4,2.5,1890,4,1890,0,1968,0,98166,47.4281,-122.343
"222",6619910140,"02",630000,4,1.75,2950,4,1780,1170,1975,0,98034,47.7128,-122.223
"223",1115450240,"10",360000,4,2.5,2160,3,2160,0,1992,0,98001,47.3341,-122.255
"224",6073240060,"10",580000,4,3,3280,3,2270,1010,1986,0,98056,47.5399,-122.181
"225",9297300045,"07",550000,3,2,1970,5,1270,700,1929,0,98126,47.5717,-122.375
"226",9510920070,"07",879000,4,2.5,3360,3,3360,0,1994,0,98075,47.5951,-122.017
"227",5468730030,"08",265000,3,2,1320,3,1320,0,1993,0,98042,47.3536,-122.144
"228",8079030390,"03",446500,3,2.5,2650,3,2650,0,1990,0,98059,47.5084,-122.154
"229",600000152,"06",404000,3,1.5,2030,3,1330,700,1963,0,98108,47.5586,-122.311
"230",1840000030,"05",267500,3,1.75,1590,3,1090,500,1957,0,98188,47.4427,-122.274
"231",3225069065,"06",3075000,4,5,4550,3,2600,1950,2002,0,98074,47.6053,-122.077
"232",3260800030,"08",335000,3,2.5,2440,3,2440,0,1998,0,98003,47.3494,-122.301
"233",2747100024,"06",576000,3,2.5,1940,4,970,970,1948,0,98117,47.6933,-122.393
"234",5104530560,"04",208633,3,2.5,2040,3,2040,0,2006,0,98038,47.3537,-122
"235",4330600350,"01",315000,3,2.25,2200,4,1120,1080,1964,0,98166,47.476,-122.337
"236",5016001535,"02",725000,3,1.75,1920,4,960,960,1913,0,98112,47.6239,-122.298
"237",7280300196,"04",550000,4,2.75,1800,4,1400,400,1965,0,98177,47.7776,-122.384
"238",8651520400,"06",610750,4,2.25,2180,3,2180,0,1984,0,98074,47.6459,-122.058
"239",3204800200,"01",665000,4,2.75,3320,5,2220,1100,1960,0,98056,47.5376,-122.18
"240",3416600800,"02",834000,4,2.5,2370,5,1980,390,1928,0,98144,47.601,-122.294
"241",7994700030,"10",201000,5,1.75,1660,3,1660,0,1915,0,98065,47.529,-121.837
"242",1860600135,"05",2384000,5,2.5,3650,5,3370,280,1921,0,98119,47.6345,-122.367
"243",4139480200,"06",1384000,4,3.25,4290,3,2690,1600,1997,0,98006,47.5503,-122.102
