"","month","price","bedrooms","bathrooms","sqft_living","condition","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long"
"1","12",538000,3,2.25,2570,3,2170,400,1951,1991,98125,47.721,-122.319
"2","12",604000,4,3,1960,5,1050,910,1965,0,98136,47.5208,-122.393
"3","02",510000,3,2,1680,3,1680,0,1987,0,98074,47.6168,-122.045
"4","05",1225000,4,4.5,5420,3,3890,1530,2001,0,98053,47.6561,-122.005
"5","06",257500,3,2.25,1715,3,1715,0,1995,0,98003,47.3097,-122.327
"6","01",291850,3,1.5,1060,3,1060,0,1963,0,98198,47.4095,-122.315
"7","03",323000,3,2.5,1890,3,1890,0,2003,0,98038,47.3684,-122.031
"8","04",662500,3,2.5,3560,3,1860,1700,1965,0,98007,47.6007,-122.145
"9","10",4e+05,3,1.75,1370,4,1370,0,1977,0,98074,47.6127,-122.045
"10","03",530000,5,2,1810,3,1810,0,1900,0,98107,47.67,-122.394
"11","01",650000,4,3,2950,3,1980,970,1979,0,98126,47.5714,-122.375
"12","07",395000,3,2,1890,3,1890,0,1994,0,98019,47.7277,-121.962
"13","05",385000,4,1.75,1620,4,860,760,1947,0,98133,47.7025,-122.341
"14","08",2e+06,3,2.75,3050,3,2330,720,1968,0,98040,47.5316,-122.233
"15","07",285000,5,2.5,2270,3,2270,0,1995,0,98092,47.3266,-122.169
"16","05",252700,2,1.5,1070,3,1070,0,1985,0,98030,47.3533,-122.166
"17","11",329000,3,2.25,2450,4,2450,0,1985,0,98030,47.3739,-122.172
"18","11",233000,3,2,1710,5,1710,0,1941,0,98002,47.3048,-122.218
"19","06",937000,3,1.75,2450,3,1750,700,1915,0,98119,47.6386,-122.36
"20","06",438000,3,1.75,1520,3,790,730,1948,0,98115,47.695,-122.304
"21","03",719000,4,2.5,2570,3,2570,0,2005,0,98052,47.7073,-122.11
"22","11",580500,3,2.5,2320,3,2320,0,2003,0,98027,47.5391,-122.07
"23","12",280000,2,1.5,1190,3,1190,0,2005,0,98133,47.7274,-122.357
"24","06",687500,4,1.75,2330,4,1510,820,1929,0,98117,47.6823,-122.368
"25","12",322500,4,2.75,2060,3,1280,780,1981,0,98058,47.4276,-122.157
"26","06",696000,3,2.5,2300,3,1510,790,1930,2002,98115,47.6827,-122.31
"27","12",640000,4,2,2360,4,2360,0,1904,0,98107,47.6702,-122.362
"28","06",605000,4,2.5,2620,3,2620,0,1996,0,98056,47.5301,-122.18
"29","07",625000,4,2.5,2570,3,2570,0,2000,0,98074,47.6145,-122.027
"30","08",775000,4,2.25,4220,3,2600,1620,1984,0,98166,47.445,-122.347
"31","07",861990,5,2.75,3595,3,3595,0,2014,0,98053,47.6848,-122.016
"32","07",488000,3,2.5,3160,3,3160,0,2003,0,98019,47.7443,-121.977
"33","07",785000,4,2.5,2290,4,2290,0,1981,0,98007,47.6194,-122.151
"34","04",450000,3,1.75,1250,4,1250,0,1953,0,98115,47.6796,-122.301
"35","03",1350000,3,2.5,2753,5,2165,588,1953,0,98070,47.4041,-122.451
"36","02",345000,5,2.5,3150,4,1640,1510,1966,0,98056,47.4934,-122.189
"37","12",6e+05,3,1.75,1410,4,1000,410,1950,0,98117,47.6808,-122.384
"38","02",585000,2,1.75,1980,3,990,990,1981,0,98117,47.6989,-122.369
"39","03",920000,5,2.25,2730,3,2130,600,1927,0,98105,47.6571,-122.281
"40","05",885000,4,2.5,2830,3,2830,0,1995,0,98105,47.6597,-122.29
"41","08",292500,4,2.5,2250,3,2250,0,2008,0,98042,47.3663,-122.114
"42","04",301000,3,2.5,2420,3,2420,0,2003,0,98042,47.3663,-122.122
"43","08",951000,5,3.25,3250,4,3250,0,1968,0,98008,47.588,-122.116
"44","02",430000,4,3,1850,3,1850,0,1991,0,98059,47.5059,-122.149
"45","12",650000,3,2.25,2150,4,1590,560,1959,0,98166,47.4336,-122.339
"46","08",289000,3,1.75,1260,3,1260,0,1954,0,98148,47.4366,-122.335
"47","10",505000,3,1.75,2519,5,2519,0,1973,0,98166,47.4428,-122.344
"48","12",549000,3,1.75,1540,3,1540,0,2014,0,98115,47.6765,-122.32
"49","06",425000,3,2.25,1660,3,1110,550,1979,0,98122,47.6113,-122.297
"50","11",317625,3,2.75,2770,5,1770,1000,1925,0,98144,47.5747,-122.304
"51","09",975000,4,2.5,2720,3,2720,0,1989,0,98004,47.5815,-122.192
"52","10",287000,4,2.5,2240,3,2240,0,2005,0,98001,47.3378,-122.257
"53","06",1325000,5,2.25,3200,3,1600,1600,1965,0,98004,47.6303,-122.215
"54","09",1040000,5,3.25,4770,4,3070,1700,1973,0,98005,47.6525,-122.16
"55","01",325000,3,2,1260,4,1260,0,1972,0,98034,47.7362,-122.179
"56","06",571000,4,2,2750,5,2250,500,1916,0,98125,47.7168,-122.287
"57","07",360000,4,2.5,2380,3,2380,0,2005,0,98038,47.3608,-122.036
"58","03",349000,3,1.75,1790,5,1090,700,1965,0,98042,47.3511,-122.073
"59","11",832500,4,4,3430,4,2390,1040,1986,0,98075,47.5822,-121.987
"60","10",380000,4,1.75,1760,3,880,880,1956,0,98008,47.6034,-122.125
"61","03",720000,4,2.5,3450,3,3450,0,2002,0,98010,47.342,-122.025
"62","12",390000,3,2.5,2350,3,2350,0,2003,0,98038,47.3512,-122.008
"63","12",360000,4,2.5,1900,3,1900,0,1992,0,98038,47.349,-122.031
"64","01",356000,3,1.5,1680,3,1680,0,1964,0,98059,47.4811,-122.149
"65","11",940000,3,1.5,2140,3,1900,240,1925,0,98119,47.6337,-122.365
"66","11",305000,5,2.25,2660,5,2660,0,1961,0,98092,47.2909,-122.189
"67","06",461000,3,3.25,2770,3,1980,790,2006,0,98056,47.5228,-122.199
"68","05",215000,2,2.25,1610,4,1610,0,1979,0,98056,47.518,-122.194
"69","09",335000,2,1.75,1030,3,765,265,2006,0,98136,47.5394,-122.387
"70","05",243500,4,2.5,1980,3,1980,0,1988,0,98023,47.2897,-122.372
"71","03",1099880,5,2.75,3520,4,3520,0,2001,0,98199,47.6506,-122.391
"72","07",430000,3,1.5,1580,3,1290,290,1939,0,98117,47.687,-122.386
"73","12",7e+05,3,1.5,1580,3,1290,290,1939,0,98117,47.687,-122.386
"74","09",905000,4,2.5,3300,3,2390,910,1946,1991,98040,47.5873,-122.249
"75","03",247500,3,1.75,1960,3,1960,0,1967,0,98032,47.3576,-122.277
"76","09",199000,4,1.5,1160,4,1160,0,1975,0,98023,47.3036,-122.378
"77","07",314000,3,1.75,1810,5,1210,600,1980,0,98038,47.4109,-121.958
"78","05",437500,3,2.5,2320,3,2320,0,1992,0,98045,47.4838,-121.714
"79","06",850830,3,2.5,2070,5,1270,800,1910,0,98102,47.6415,-122.315
"80","10",555000,3,2,1980,4,1440,540,1929,0,98117,47.6775,-122.372
"81","12",699950,3,2.25,2190,4,2190,0,1983,0,98077,47.7731,-122.08
"82","10",1088000,3,2.5,2920,3,2920,0,1950,2010,98004,47.5814,-122.196
"83","04",375000,3,2.5,2340,4,1460,880,1978,0,98058,47.4431,-122.133
"84","07",188500,2,1.75,1240,4,1240,0,1985,0,98198,47.3813,-122.322
"85","03",680000,4,2.5,3140,4,3140,0,1991,0,98077,47.7304,-122.082
"86","08",470000,5,1.75,2030,4,2030,0,1942,0,98052,47.6417,-122.109
"87","07",597750,4,2.5,2310,3,2310,0,1984,0,98027,47.5386,-122.053
